step,time_s,theta_hat_rad,theta_hat_deg,label_main,label_turn,conf_main,truth_main,truth_turn,theta_truth_rad
428,4.27,0,0,1,1,0.999997854232788,1,1,0
429,4.28,0,0,1,1,0.999998211860657,1,1,0
430,4.29,0,0,1,1,0.999998331069946,1,1,0
431,4.3,0,0,1,1,0.999998450279236,1,1,0
432,4.31,0,0,1,1,0.999998569488525,1,1,0
433,4.32,0,0,1,1,0.999998569488525,1,1,0
434,4.33,0,0,1,1,0.999998688697815,1,1,0
435,4.34,0,0,1,1,0.999998688697815,1,1,0
436,4.35,0,0,1,1,0.999998807907104,1,1,0
437,4.36,0,0,1,1,0.999998807907104,1,1,0
438,4.37,0,0,1,1,0.999998927116394,1,1,0
439,4.38,0,0,1,1,0.999998927116394,1,1,0
440,4.39,0,0,1,1,0.999998927116394,1,1,0
441,4.4,0,0,1,1,0.999999046325684,1,1,0
442,4.41,0,0,1,1,0.999999046325684,1,1,0
443,4.42,0,0,1,1,0.999999046325684,1,1,0
444,4.43,0,0,1,1,0.999999046325684,1,1,0
445,4.44,0,0,1,1,0.999998927116394,1,1,0
446,4.45,0,0,1,1,0.999998927116394,1,1,0
447,4.46,0,0,1,1,0.999998927116394,1,1,0
448,4.47,0,0,1,1,0.999998807907104,1,1,0
449,4.48,0,0,1,1,0.999998688697815,1,1,0
450,4.49,0,0,1,1,0.999998569488525,1,1,0
451,4.5,0,0,1,1,0.999998569488525,1,1,0
452,4.51,0,0,1,1,0.999998450279236,1,1,0
453,4.52,0,0,1,1,0.999998450279236,1,1,0
454,4.53,0,0,1,1,0.999998331069946,1,1,0
455,4.54,0,0,1,1,0.999998331069946,1,1,0
456,4.55,0,0,1,1,0.999998211860657,1,1,0
457,4.56,0,0,1,1,0.999997973442078,1,1,0
458,4.57,0,0,1,1,0.999997854232788,1,1,0
459,4.58,0,0,1,1,0.999997854232788,1,1,0
460,4.59,0,0,1,1,0.999997615814209,1,1,0
461,4.6,0,0,1,1,0.999997496604919,1,1,0
462,4.61,0,0,1,1,0.99999737739563,1,1,0
463,4.62,0,0,1,1,0.999997138977051,1,1,0
464,4.63,0,0,1,1,0.999997138977051,1,1,0
465,4.64,0,0,1,1,0.999996900558472,1,1,0
466,4.65,0,0,1,1,0.999996662139893,1,1,0
467,4.66,0,0,1,1,0.999996423721313,1,1,0
468,4.67,0,0,1,1,0.999996185302734,1,1,0
469,4.68,0,0,1,1,0.999995946884155,1,1,0
470,4.69,0,0,1,1,0.999995708465576,1,1,0
471,4.7,0,0,1,1,0.999995470046997,1,1,0
472,4.71,0,0,1,1,0.999995112419128,1,1,0
473,4.72,0,0,1,1,0.999994874000549,1,1,0
474,4.73,0,0,1,1,0.999994516372681,1,1,0
475,4.74,0,0,1,1,0.999994277954102,1,1,0
