t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
42,1,0,0.00414549093693495,1,2.43079796291568e-08,5.9500028015691e-08,0.000358628516551107,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
42.2,1,0,0.00414549745619297,1,2.43079334438789e-08,5.94999143288533e-08,0.000358628167305142,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
42.4,1,0,0.00414550118148327,1,2.43079334438789e-08,5.94999143288533e-08,0.000358627992682159,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
42.6,1,0,0.00414550770074129,1,2.43079334438789e-08,5.94999143288533e-08,0.000358628167305142,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
42.8,1,0,0.00414550490677357,1,2.43079334438789e-08,5.94998006420155e-08,0.000358627672540024,0.999549210071564,9.21379469218664e-05,1,0.999549210071564,0,0,0
43,1,0,0.00414550770074129,1,2.43079334438789e-08,5.94998006420155e-08,0.000358627672540024,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
43.2,1,0,0.00414550676941872,1,2.43079334438789e-08,5.94998006420155e-08,0.000358626450179145,0.999549210071564,9.21375903999433e-05,1,0.999549210071564,0,0,0
43.4,1,0,0.00414550863206387,1,2.43079334438789e-08,5.94996869551778e-08,0.000358626624802127,0.999549210071564,9.2137859610375e-05,1,0.999549210071564,0,0,0
43.6,1,0,0.00414550676941872,1,2.43079334438789e-08,5.94996869551778e-08,0.00035862679942511,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
43.8,1,0,0.00414550490677357,1,2.43079334438789e-08,5.94998006420155e-08,0.00035862679942511,0.999549210071564,9.21375903999433e-05,1,0.999549210071564,0,0,0
44,1,0,0.00414550490677357,1,2.43079334438789e-08,5.94998006420155e-08,0.000358626974048093,0.999549210071564,9.21375903999433e-05,1,0.999549210071564,0,0,0
44.2,1,0,0.00414549931883812,1,2.43079334438789e-08,5.94998006420155e-08,0.000358626974048093,0.999549210071564,9.21375903999433e-05,1,0.999549210071564,0,0,0
