case_name,neg_weight,downhill_weight,lambda_turn,turn_weight_method,best_epoch,score,acc_main,acc_turn,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,model_file,report_file
neg2p0_down0p15_turn0p60_none,2,0.15,0.6,none,76,0.206696792908589,0.903370786516854,0.78876404494382,0.922136803846815,0.920754716981132,0.777777777777778,0.888888888888889,0.894736842105263,0.862068965517241,0.0490566037735849,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p15_turn0p60_none.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p15_turn0p60_none\TCN_train_report.md
neg2p0_down0p25_turn0p60_sqrt_inverse,2,0.25,0.6,sqrt_inverse,61,0.222300925916342,0.914606741573034,0.786516853932584,1.48365332269819,0.943396226415094,0.777777777777778,0.882716049382716,0.894736842105263,0.827586206896552,0.0339622641509434,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p25_turn0p60_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p25_turn0p60_sqrt_inverse\TCN_train_report.md
neg4p0_down0p25_turn0p20_none,4,0.25,0.2,none,76,0.222667302746312,0.898876404494382,0.78876404494382,1.05980447548052,0.924528301886792,0.777777777777778,0.87037037037037,0.879699248120301,0.827586206896552,0.0452830188679245,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p25_turn0p20_none.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p25_turn0p20_none\TCN_train_report.md
neg2p0_down0p25_turn0p45_sqrt_inverse,2,0.25,0.45,sqrt_inverse,53,0.277550647581211,0.849438202247191,0.793258426966292,0.942520208348793,0.860377358490566,0.777777777777778,0.839506172839506,0.834586466165414,0.862068965517241,0.113207547169811,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p25_turn0p45_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p25_turn0p45_sqrt_inverse\TCN_train_report.md
neg4p0_down0p15_turn0p45_sqrt_inverse,4,0.15,0.45,sqrt_inverse,76,0.27860884986006,0.912359550561798,0.791011235955056,3.07471880851126,0.950943396226415,0.777777777777778,0.864197530864197,0.864661654135338,0.862068965517241,0.0264150943396226,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p15_turn0p45_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p15_turn0p45_sqrt_inverse\TCN_train_report.md
neg4p0_down0p15_turn0p60_sqrt_inverse,4,0.15,0.6,sqrt_inverse,70,0.281180163030206,0.901123595505618,0.784269662921348,2.54509789269023,0.928301886792453,0.777777777777778,0.87037037037037,0.879699248120301,0.827586206896552,0.0452830188679245,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p15_turn0p60_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p15_turn0p60_sqrt_inverse\TCN_train_report.md
neg2p0_down0p15_turn0p60_sqrt_inverse,2,0.15,0.6,sqrt_inverse,62,0.300196171695277,0.847191011235955,0.78876404494382,1.3623796933074,0.860377358490566,0.777777777777778,0.833333333333333,0.827067669172932,0.862068965517241,0.113207547169811,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p15_turn0p60_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p15_turn0p60_sqrt_inverse\TCN_train_report.md
neg4p0_down0p25_turn0p20_sqrt_inverse,4,0.25,0.2,sqrt_inverse,65,0.318278457857895,0.907865168539326,0.784269662921348,3.80919803750101,0.924528301886792,0.777777777777778,0.895061728395062,0.902255639097744,0.862068965517241,0.0452830188679245,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p25_turn0p20_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p25_turn0p20_sqrt_inverse\TCN_train_report.md
neg2p0_down0p15_turn0p20_sqrt_inverse,2,0.15,0.2,sqrt_inverse,62,0.318535483820136,0.853932584269663,0.791011235955056,2.17542868718666,0.860377358490566,0.777777777777778,0.851851851851852,0.849624060150376,0.862068965517241,0.113207547169811,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p15_turn0p20_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p15_turn0p20_sqrt_inverse\TCN_train_report.md
neg4p0_down0p25_turn0p60_sqrt_inverse,4,0.25,0.6,sqrt_inverse,70,0.351180349983889,0.808988764044944,0.791011235955056,0.909095422979859,0.845283018867925,0.777777777777778,0.753086419753086,0.729323308270677,0.862068965517241,0.124528301886792,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p25_turn0p60_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p25_turn0p60_sqrt_inverse\TCN_train_report.md
neg4p0_down0p25_turn0p30_sqrt_inverse,4,0.25,0.3,sqrt_inverse,53,0.356435269242275,0.804494382022472,0.793258426966292,0.907226937405368,0.837735849056604,0.777777777777778,0.753086419753086,0.729323308270677,0.862068965517241,0.132075471698113,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p25_turn0p30_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p25_turn0p30_sqrt_inverse\TCN_train_report.md
neg4p0_down0p25_turn0p45_sqrt_inverse,4,0.25,0.45,sqrt_inverse,43,0.365659679440665,0.8,0.78876404494382,1.10412613923942,0.815094339622642,0.777777777777778,0.777777777777778,0.759398496240602,0.862068965517241,0.154716981132075,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p25_turn0p45_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p25_turn0p45_sqrt_inverse\TCN_train_report.md
neg4p0_down0p25_turn0p45_none,4,0.25,0.45,none,53,0.370519560182944,0.808988764044944,0.797752808988764,1.49931565701134,0.837735849056604,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.135849056603774,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p25_turn0p45_none.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p25_turn0p45_none\TCN_train_report.md
