step,time_s,theta_hat_rad,theta_hat_deg,label_main,label_turn,conf_main,buffer_count,truth_main,truth_turn,theta_truth_rad
208,2.07,-0.00672062434949637,-0.385063410918997,3,0,0.83207756280899,128,1,0,0
209,2.08,-0.00650002730030716,-0.372424131027415,3,0,0.847568869590759,128,1,0,0
210,2.09,-0.00628264624056314,-0.359969113758001,3,0,0.8616623878479,128,1,0,0
211,2.1,-0.00606845281484625,-0.347696734464974,3,0,0.8745236992836,128,1,0,0
212,2.11,0,0,1,0,0.886233925819397,128,1,0,0
213,2.12,0,0,1,0,0.896855413913727,128,1,0,0
214,2.13,0,0,1,0,0.906516015529633,128,1,0,0
215,2.14,0,0,1,0,0.915149569511414,128,1,0,0
216,2.15,0,0,1,0,0.922886908054352,128,1,0,0
217,2.16,0,0,1,0,0.929819583892822,128,1,0,0
218,2.17,0,0,1,0,0.936024367809296,128,1,0,0
219,2.18,0,0,1,0,0.941596508026123,128,1,0,0
220,2.19,0,0,1,0,0.946548700332642,128,1,0,0
221,2.2,0,0,1,0,0.950964391231537,128,1,0,0
222,2.21,0,0,1,0,0.954905390739441,128,1,0,0
223,2.22,0,0,1,0,0.95842456817627,128,1,0,0
224,2.23,0,0,1,0,0.961578071117401,128,1,0,0
225,2.24,0,0,1,0,0.964386940002441,128,1,0,0
226,2.25,0,0,1,0,0.966895997524261,128,1,0,0
227,2.26,0,0,1,0,0.969141185283661,128,1,0,0
228,2.27,0,0,1,0,0.971152365207672,128,1,0,0
229,2.28,0,0,1,0,0.972960412502289,128,1,0,0
230,2.29,0,0,1,0,0.974579334259033,128,1,0,0
231,2.3,0,0,1,0,0.976032614707947,128,1,0,0
232,2.31,0,0,1,0,0.977339804172516,128,1,0,0
233,2.32,0,0,1,0,0.97851699590683,128,1,0,0
234,2.33,0,0,1,0,0.979580700397491,128,1,0,0
235,2.34,0,0,1,0,0.980538845062256,128,1,0,0
236,2.35,0,0,1,0,0.981403946876526,128,1,0,0
237,2.36,0,0,1,0,0.982186555862427,128,1,0,0
238,2.37,0,0,1,0,0.982895255088806,128,1,0,0
