case_name,phase,best_epoch,base_best_epoch,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,turn_head_type,turn_head_source,lambda_turn,grad_clip_mode,model_file,report_file
main_neg4p0_down0p25_turn0p20_separate_linear_readout,main_recovery,64,NaN,0.202316663904452,0.141979585252767,0.907865168539326,0.808988764044944,0.849009900990099,0.414634146341463,0.869898935888855,0.916981132075472,0.777777777777778,0.907407407407407,0.924812030075188,0.827586206896552,0.0528301886792453,linear,readout,0.2,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p25_turn0p20_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p25_turn0p20_separate_linear_readout\TCN_train_report.md
main_neg4p0_down0p15_turn0p00_separate_linear_readout,main_recovery,41,NaN,0.279801521022283,0.119352082820036,0.925842696629213,0.465168539325843,0.48019801980198,0.317073170731707,1.01666193906143,0.954716981132075,0.777777777777778,0.895061728395062,0.902255639097744,0.862068965517241,0.0226415094339623,linear,readout,0,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p15_turn0p00_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p15_turn0p00_separate_linear_readout\TCN_train_report.md
main_neg2p0_down0p25_turn0p00_separate_linear_readout,main_recovery,76,NaN,0.287641345997966,0.0928098853238084,0.934831460674157,0.350561797752809,0.351485148514851,0.341463414634146,0.503492986318695,0.962264150943396,0.722222222222222,0.91358024691358,0.932330827067669,0.827586206896552,0.0150943396226415,linear,readout,0,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p25_turn0p00_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p25_turn0p00_separate_linear_readout\TCN_train_report.md
main_neg4p0_down0p15_turn0p00_global_linear_readout,main_recovery,62,NaN,0.296532903214531,0.109117172877453,0.937078651685393,0.375280898876404,0.376237623762376,0.365853658536585,1.06055599142964,0.966037735849057,0.777777777777778,0.907407407407407,0.917293233082707,0.862068965517241,0.0188679245283019,linear,readout,0,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p15_turn0p00_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p15_turn0p00_global_linear_readout\TCN_train_report.md
main_neg2p0_down0p25_turn0p00_global_linear_readout,main_recovery,64,NaN,0.299651886288588,0.103472111007689,0.934831460674157,0.346067415730337,0.344059405940594,0.365853658536585,0.788916552944002,0.973584905660377,0.777777777777778,0.888888888888889,0.902255639097744,0.827586206896552,0.0113207547169811,linear,readout,0,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p25_turn0p00_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p25_turn0p00_global_linear_readout\TCN_train_report.md
main_neg2p0_down0p15_turn0p00_separate_linear_readout,main_recovery,70,NaN,0.301600677560733,0.104072587673092,0.930337078651685,0.341573033707865,0.339108910891089,0.365853658536585,0.765902035477934,0.958490566037736,0.777777777777778,0.901234567901235,0.909774436090226,0.862068965517241,0.0188679245283019,linear,readout,0,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p15_turn0p00_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p15_turn0p00_separate_linear_readout\TCN_train_report.md
main_neg4p0_down0p25_turn0p00_global_linear_readout,main_recovery,65,NaN,0.311839096139895,0.106221118611805,0.930337078651685,0.314606741573034,0.309405940594059,0.365853658536585,0.669810494371913,0.950943396226415,0.777777777777778,0.91358024691358,0.932330827067669,0.827586206896552,0.0264150943396226,linear,readout,0,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p25_turn0p00_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p25_turn0p00_global_linear_readout\TCN_train_report.md
main_neg2p0_down0p15_turn0p00_global_linear_readout,main_recovery,64,NaN,0.319522903080578,0.103118408698555,0.943820224719101,0.278651685393258,0.272277227722772,0.341463414634146,1.00479309633926,0.973584905660377,0.777777777777778,0.91358024691358,0.932330827067669,0.827586206896552,0.0113207547169811,linear,readout,0,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p15_turn0p00_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p15_turn0p00_global_linear_readout\TCN_train_report.md
main_neg4p0_down0p25_turn0p00_separate_linear_readout,main_recovery,51,NaN,0.32556964377705,0.117929194338848,0.930337078651685,0.307865168539326,0.304455445544554,0.341463414634146,1.09344927759353,0.950943396226415,0.722222222222222,0.919753086419753,0.932330827067669,0.862068965517241,0.0226415094339623,linear,readout,0,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p25_turn0p00_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p25_turn0p00_separate_linear_readout\TCN_train_report.md
main_neg4p0_down0p25_turn0p05_global_linear_readout,main_recovery,53,NaN,0.351965194805947,0.269718003794711,0.806741573033708,0.820224719101124,0.856435643564356,0.463414634146341,0.760226830272101,0.822641509433962,0.777777777777778,0.783950617283951,0.766917293233083,0.862068965517241,0.147169811320755,linear,readout,0.05,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p25_turn0p05_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p25_turn0p05_global_linear_readout\TCN_train_report.md
main_neg4p0_down0p25_turn0p10_global_linear_readout,main_recovery,53,NaN,0.357903256338995,0.276217863080568,0.808988764044944,0.820224719101124,0.856435643564356,0.463414634146341,0.99777101222773,0.826415094339623,0.777777777777778,0.783950617283951,0.766917293233083,0.862068965517241,0.143396226415094,linear,readout,0.1,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p25_turn0p10_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p25_turn0p10_global_linear_readout\TCN_train_report.md
main_neg4p0_down0p15_turn0p05_separate_linear_readout,main_recovery,70,NaN,0.363388061697653,0.281253230236979,0.804494382022472,0.82247191011236,0.858910891089109,0.463414634146341,0.898655549783201,0.833962264150943,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.135849056603774,linear,readout,0.05,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p15_turn0p05_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p15_turn0p05_separate_linear_readout\TCN_train_report.md
