run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,variant_name,v_ref,omega_ref,radius_m,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,41,41,9,2,2,straight_v095,0.95,0,Inf,3.2,clean,128,131.19,13,8.87408827441957,8.88815925220855,0.0610090403955882,-0.12591172558043,-0.111840747791453,3,1
1,42,42,10,2,2,straight_v095,0.95,0,Inf,3.2,clean,131.2,134.39,13,9.93261220896793,9.95086306550427,0.100258099684146,-0.0673877910320702,-0.0491369344957331,3,1
1,43,43,-10,3,3,straight_v115,1.15,0,Inf,3.2,clean,134.4,137.59,13,-9.88518166782407,-9.90120785293786,0.0769378000735871,0.114818332175933,0.0987921470621433,3,1
1,44,44,-9,3,3,straight_v115,1.15,0,Inf,3.2,clean,137.6,140.79,13,-8.80946017071926,-8.80984489425924,0.00439858815411992,0.190539829280736,0.190155105740757,3,1
1,45,45,-8,3,3,straight_v115,1.15,0,Inf,3.2,clean,140.8,143.99,13,-7.97911151199988,-7.97777752351505,0.0136969033790684,0.020888488000125,0.0222224764849459,3,1
1,46,46,-7,3,3,straight_v115,1.15,0,Inf,3.2,clean,144,147.19,13,-6.94585586228598,-6.94970542914458,0.0202436149184142,0.0541441377140215,0.0502945708554172,3,0.999999761581421
1,47,47,-6,3,3,straight_v115,1.15,0,Inf,3.2,clean,147.2,150.39,13,-5.91356326924505,-5.91320136773139,0.00260062374780182,0.0864367307549463,0.0867986322686143,3,0.999999403953552
1,48,48,-5,3,3,straight_v115,1.15,0,Inf,3.2,clean,150.4,153.59,13,-4.85895004488335,-4.87172437036581,0.0543492612319459,0.14104995511665,0.128275629634194,3,0.999999761581421
1,49,49,-4,3,3,straight_v115,1.15,0,Inf,3.2,clean,153.6,156.79,13,-3.82698359337529,-3.84723746856063,0.0512291449214601,0.173016406624706,0.152762531439367,3,1
1,50,50,-3,3,3,straight_v115,1.15,0,Inf,3.2,clean,156.8,159.99,13,-2.69436768770134,-2.69940646273683,0.0161965546666023,0.305632312298659,0.30059353726317,3,1
1,51,51,-2,3,3,straight_v115,1.15,0,Inf,3.2,clean,160,163.19,13,-1.84228856869414,-1.84618620957652,0.0250727882759465,0.157711431305855,0.153813790423477,3,0.99999988079071
1,52,52,-1,3,3,straight_v115,1.15,0,Inf,3.2,clean,163.2,166.39,13,-0.758128639674054,-0.767933979615713,0.051899726589424,0.241871360325946,0.232066020384287,3,0.91530454158783
1,53,53,0,3,3,straight_v115,1.15,0,Inf,3.2,clean,166.4,169.59,13,0.366831744518225,0.323630763128106,0.0842351527627485,0.366831744518225,0.323630763128106,1,0.999180853366852
1,54,54,1,3,3,straight_v115,1.15,0,Inf,3.2,clean,169.6,172.79,13,1.38935023013516,1.38685078315767,0.0540389822824164,0.389350230135156,0.386850783157668,1,0.999974250793457
1,55,55,2,3,3,straight_v115,1.15,0,Inf,3.2,clean,172.8,175.99,13,2.46174190329787,2.44798250363361,0.0600858097686614,0.461741903297873,0.447982503633606,1,0.999994516372681
1,56,56,3,3,3,straight_v115,1.15,0,Inf,3.2,clean,176,179.19,13,3.27002158047872,3.26675161099485,0.00849492575702745,0.270021580478716,0.266751610994848,3,0.979455709457397
1,57,57,4,3,3,straight_v115,1.15,0,Inf,3.2,clean,179.2,182.39,13,4.06219780603078,4.0548675353662,0.0480789335502276,0.0621978060307846,0.0548675353662036,3,0.999802052974701
1,58,58,5,3,3,straight_v115,1.15,0,Inf,3.2,clean,182.4,185.59,13,5.00415986663782,4.99824058827346,0.0454509859098725,0.00415986663782153,-0.00175941172653538,3,0.999984979629517
1,59,59,6,3,3,straight_v115,1.15,0,Inf,3.2,clean,185.6,188.79,13,6.11470422945229,6.0967409961224,0.0461054925556045,0.11470422945229,0.0967409961223966,3,0.999999046325684
1,60,60,7,3,3,straight_v115,1.15,0,Inf,3.2,clean,188.8,191.99,13,7.27688524927888,7.26426634343749,0.0281888922737822,0.276885249278878,0.264266343437487,3,0.99999988079071
1,61,61,8,3,3,straight_v115,1.15,0,Inf,3.2,clean,192,195.19,13,8.34446430711938,8.33216556639533,0.024696896468687,0.344464307119381,0.332165566395334,3,0.99999988079071
1,62,62,9,3,3,straight_v115,1.15,0,Inf,3.2,clean,195.2,198.39,13,9.23497839469012,9.2260403697373,0.0439295276645474,0.234978394690119,0.226040369737303,3,1
1,63,63,10,3,3,straight_v115,1.15,0,Inf,3.2,clean,198.4,201.59,13,10.1866081611805,10.1904304401199,0.128971399294814,0.186608161180486,0.190430440119856,3,1
1,64,64,-10,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,201.6,204.79,13,-9.74669787485477,-9.7683591630585,0.0499539938511585,0.253302125145233,0.231640836941496,3,1
1,65,65,-9,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,204.8,207.99,13,-8.9112308431261,-8.91122105756662,0.0753512805629993,0.0887691568738997,0.0887789424333842,3,0.999994993209839
1,66,66,-8,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,208,211.19,13,-7.94965973629878,-7.9503106401917,0.024882370537379,0.0503402637012202,0.0496893598082968,3,1
1,67,67,-7,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,211.2,214.39,13,-7.22648784471429,-7.21772418661,0.0178944851035161,-0.226487844714292,-0.217724186609998,3,0.999999642372131
1,68,68,-6,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,214.4,217.59,13,-6.1392903491434,-6.12521766380713,0.0248125680932237,-0.139290349143397,-0.125217663807127,3,0.999999284744263
1,69,69,-5,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,217.6,220.79,13,-5.072340949367,-5.07375466717541,0.00687325620545598,-0.0723409493670042,-0.0737546671754057,3,0.999999761581421
1,70,70,-4,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,220.8,223.99,13,-3.95669614278983,-3.96070533248284,0.0221419376474899,0.0433038572101707,0.0392946675171642,3,1
1,71,71,-3,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,224,227.19,13,-2.93256498547683,-2.92367858099217,0.0255577959858366,0.067435014523165,0.0763214190078307,3,1
1,72,72,-2,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,227.2,230.39,13,-1.93663909434141,-1.93969158140762,0.0147389734201207,0.0633609056585915,0.0603084185923826,3,0.999994516372681
1,73,73,-1,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,230.4,233.59,13,-0.888769241042065,-0.898236950448761,0.0442569103554626,0.111230758957935,0.101763049551239,1,0.884284734725952
1,74,74,0,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,233.6,236.79,13,0.30687831833541,0.292301388331877,0.034522836124434,0.30687831833541,0.292301388331877,1,0.999976754188538
1,75,75,1,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,236.8,239.99,13,1.3517789603365,1.36414224306446,0.0323660483237534,0.351778960336502,0.36414224306446,1,0.999922633171082
1,76,76,2,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,240,243.19,13,2.11334227802857,2.137102486648,0.0624738896085154,0.113342278028574,0.137102486648001,1,0.999833822250366
1,77,77,3,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,243.2,246.39,13,3.02513219142049,3.03774746872389,0.0262240680880822,0.0251321914204907,0.037747468723885,3,0.999398946762085
1,78,78,4,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,246.4,249.59,13,3.94936649603676,3.94843440507719,0.0250491004213852,-0.0506335039632408,-0.0515655949228124,3,0.99995493888855
1,79,79,5,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,249.6,252.79,13,4.8872731318241,4.88704300698899,0.0208469906550619,-0.112726868175899,-0.112956993011012,3,0.999921202659607
1,80,80,6,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,252.8,255.99,13,5.84924593915198,5.85941063980977,0.0566323926308035,-0.150754060848018,-0.140589360190225,3,0.999945878982544
1,81,81,7,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,256,259.19,13,6.74333221565864,6.76334512965105,0.0503005222679339,-0.256667784341363,-0.236654870348953,3,0.99998950958252
