segment_idx,theta_true_deg,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
106,0.5,525,529.99,11,0.35540486471722,0.355506764542295,0.000941335307716723,-0.14459513528278,-0.144493235457705,1,0.999855518341064
107,0.6,530,534.99,11,0.42164046411086,0.421439448927034,0.000668521349119825,-0.17835953588914,-0.178560551072966,1,0.999818384647369
108,0.7,535,539.99,11,0.457567285825554,0.457709788408692,0.00122667142918971,-0.242432714174446,-0.242290211591308,1,0.999772965908051
109,0.8,540,544.99,11,0.474387587152062,0.474583557309797,0.0020687476086874,-0.325612412847938,-0.325416442690203,1,0.999700903892517
110,0.9,545,549.99,11,0.501658398073807,0.501687203232395,0.00149892851906784,-0.398341601926193,-0.398312796767605,1,0.999614953994751
111,1,550,554.99,11,0.530546363003259,0.530724054643385,0.00112384109797666,-0.469453636996741,-0.469275945356615,1,0.999342620372772
112,1.1,555,559.99,11,0.571115979125842,0.571190994783033,0.000430352087366557,-0.528884020874158,-0.528809005216967,1,0.998081564903259
113,1.2,560,564.99,11,0.660808635924275,0.660829339935196,5.71238335591313e-05,-0.539191364075725,-0.539170660064804,1,0.982536435127258
114,1.3,565,569.99,11,0.771629629146495,0.77178539432707,0.00137990623494415,-0.528370370853505,-0.52821460567293,3,0.64549332857132
115,1.4,570,574.99,11,0.959355777658709,0.95962451261584,0.00196424509839828,-0.440644222341291,-0.44037548738416,3,0.997195601463318
116,1.5,575,579.99,11,1.1123042037428,1.11249805887037,0.00131571689037216,-0.387695796257196,-0.38750194112963,3,0.999836683273315
117,1.6,580,584.99,11,1.2152076203348,1.21546462560627,0.00157912343913646,-0.384792379665195,-0.384535374393727,3,0.999971389770508
118,1.7,585,589.99,11,1.32285983266896,1.32308240563736,0.000445187802548796,-0.377140167331038,-0.376917594362644,3,0.999988198280334
119,1.8,590,594.99,11,1.42388868249891,1.42405455713562,0.000374676858987718,-0.376111317501088,-0.375945442864384,3,0.999993324279785
120,1.9,595,599.99,11,1.51974579846669,1.51981020986712,0.000199092946862886,-0.380254201533308,-0.380189790132882,3,0.999994993209839
121,2,600,604.99,11,1.65408708170438,1.65404058014658,0.000482977783287838,-0.345912918295619,-0.34595941985342,3,0.999994993209839
122,2.1,605,609.99,11,1.73980574234463,1.73997877703759,0.00100299810367219,-0.360194257655371,-0.360021222962406,3,0.999993562698364
123,2.2,610,614.99,11,1.77551525198593,1.77610009663558,0.00137826091048882,-0.424484748014075,-0.42389990336442,3,0.999991178512573
124,2.3,615,619.99,11,1.80504696224465,1.80528270079075,0.00156831780049187,-0.494953037755349,-0.494717299209251,3,0.99998676776886
125,2.4,620,624.99,11,1.84740672826001,1.84768655257257,0.000572722258298037,-0.552593271739988,-0.552313447427429,3,0.999982833862305
126,2.5,625,629.99,11,1.94035578446695,1.94079320763303,0.00153822946333285,-0.559644215533047,-0.559206792366968,3,0.999980211257935
127,2.6,630,634.99,11,2.0780263580382,2.07799313848178,0.00124260860831657,-0.5219736419618,-0.522006861518218,3,0.999974846839905
128,2.7,635,639.99,11,2.21231790896099,2.21294331756082,0.00569713965931629,-0.487682091039007,-0.487056682439181,3,0.999964714050293
129,2.8,640,644.99,11,2.38013480309456,2.3808545148744,0.00480000328399198,-0.419865196905439,-0.419145485125595,3,0.999946475028992
130,2.9,645,649.99,11,2.57663230188325,2.57771775865078,0.00301429369829535,-0.323367698116754,-0.322282241349224,3,0.999940752983093
131,3,650,654.99,11,2.76016802261795,2.76014995754375,0.00415376262147088,-0.239831977382049,-0.239850042456245,3,0.999940991401672
132,3.1,655,659.99,11,2.95784778446328,2.95767904774447,0.00327015815994619,-0.142152215536717,-0.142320952255531,3,0.999954581260681
133,3.2,660,664.99,11,3.13553259440023,3.13515464433019,0.00504073056492012,-0.0644674055997738,-0.0648453556698119,3,0.999970078468323
134,3.3,665,669.99,11,3.27129626453257,3.27091144546547,0.00306852552885505,-0.0287037354674298,-0.0290885545345314,3,0.999980211257935
135,3.4,670,674.99,11,3.36604849068039,3.36586463828725,0.00183429703917051,-0.0339515093196052,-0.0341353617127464,3,0.999985098838806
136,3.5,675,679.99,11,3.43487225152179,3.4352631634281,0.00268368357669216,-0.0651277484782065,-0.0647368365719028,3,0.999988675117493
137,3.6,680,684.99,11,3.49787178199188,3.49844549847821,0.00467148297692468,-0.102128218008124,-0.10155450152179,3,0.999989986419678
138,3.7,685,689.99,11,3.56851813612461,3.56919089035391,0.00345419091078448,-0.13148186387539,-0.13080910964609,3,0.999988198280334
139,3.8,690,694.99,11,3.64854746262965,3.64896953727404,0.00369748088800357,-0.15145253737035,-0.151030462725958,3,0.999985933303833
140,3.9,695,699.99,11,3.72746346829998,3.72820353481971,0.00465053914737855,-0.172536531700023,-0.171796465180294,3,0.99998414516449
141,4,700,704.99,11,3.8123546088336,3.81269340173959,0.00195494208666452,-0.187645391166404,-0.187306598260414,3,0.999982595443726
142,4.1,705,709.99,11,3.89221061928845,3.89231101530767,0.00057061340070125,-0.207789380711553,-0.207688984692332,3,0.999979853630066
143,4.2,710,714.99,11,3.98310805742345,3.98336333574367,0.000723805611181337,-0.216891942576555,-0.216636664256325,3,0.999978065490723
144,4.3,715,719.99,11,4.06571108458511,4.06580946259389,0.000528225600022356,-0.23428891541489,-0.234190537406106,3,0.999974608421326
145,4.4,720,724.99,11,4.15660596139917,4.15669615094253,0.000219256576901818,-0.24339403860083,-0.243303849057471,3,0.999969840049744
146,4.5,725,729.99,11,4.25758262431499,4.25786945345224,0.000502068394820034,-0.242417375685007,-0.242130546547759,3,0.999963521957397
147,4.6,730,734.99,11,4.36419376640925,4.36437589185115,0.00081647104697488,-0.235806233590747,-0.235624108148845,3,0.99995481967926
148,4.7,735,739.99,11,4.46894496261515,4.46926144098266,0.000623196113898553,-0.231055037384848,-0.230738559017339,3,0.999944567680359
149,4.8,740,744.99,11,4.57060592510845,4.57082945857219,0.000851959226673999,-0.229394074891554,-0.229170541427808,3,0.999933242797852
150,4.9,745,749.99,11,4.67360901977365,4.6736242712756,0.000189307349266592,-0.226390980226354,-0.226375728724402,3,0.999921202659607
151,5,750,754.99,11,4.76369409228424,4.76395740383832,0.00155273943502239,-0.236305907715763,-0.236042596161681,3,0.999909639358521
152,5.1,755,759.99,11,4.83633699608873,4.83652172165946,0.00125780443356667,-0.263663003911269,-0.263478278340535,3,0.999898552894592
153,5.2,760,764.99,11,4.91673259148801,4.91687579261322,0.00111075812521959,-0.283267408511988,-0.283124207386776,3,0.999882578849792
154,5.3,765,769.99,11,4.99892538041265,4.99912784119049,0.00148592780228506,-0.301074619587347,-0.300872158809506,3,0.999864459037781
155,5.4,770,774.99,11,5.08378791952912,5.08405658657244,0.00163723047140936,-0.316212080470878,-0.31594341342756,3,0.999853730201721
156,5.5,775,779.99,11,5.17038532669478,5.17064677546999,0.00172516209448071,-0.329614673305224,-0.329353224530006,3,0.999851584434509
157,5.6,780,784.99,11,5.2548132950253,5.25535396659074,0.00276834758875032,-0.345186704974696,-0.344646033409261,3,0.999858260154724
158,5.7,785,789.99,11,5.33483365690706,5.33510511811867,0.00254009759707456,-0.365166343092944,-0.364894881881328,3,0.999869346618652
159,5.8,790,794.99,11,5.40872221646143,5.40897629173698,0.00276960493999039,-0.391277783538568,-0.391023708263022,3,0.999878525733948
160,5.9,795,799.99,11,5.48046054708772,5.48070026344285,0.00298050053091248,-0.419539452912279,-0.419299736557147,3,0.999887943267822
161,6,800,804.99,11,5.55366395329098,5.55387844451565,0.00356308868699448,-0.44633604670902,-0.446121555484346,3,0.999898195266724
162,6.1,805,809.99,11,5.62757300341286,5.62775299442065,0.00452522316774788,-0.472426996587135,-0.472247005579348,3,0.99990439414978
163,6.2,810,814.99,11,5.70116274219105,5.70150153509704,0.0030683914979728,-0.498837257808948,-0.498498464902959,3,0.999910950660706
164,6.3,815,819.99,11,5.78929566125949,5.78946179784947,0.00210917333337624,-0.510704338740512,-0.51053820215053,3,0.99992036819458
165,6.4,820,824.99,11,5.87981231634826,5.87996816884659,0.00201122183593039,-0.520187683651741,-0.520031831153409,3,0.999928116798401
166,6.5,825,829.99,11,5.96871960811385,5.96900449685644,0.0023599683300252,-0.531280391886154,-0.530995503143558,3,0.999933362007141
167,6.6,830,834.99,11,6.05926614528023,6.05952161763993,0.00220934250145882,-0.540733854719765,-0.54047838236007,3,0.999935746192932
168,6.7,835,839.99,11,6.15071213298295,6.15099426636514,0.00214454741604377,-0.54928786701705,-0.549005733634857,3,0.999936103820801
169,6.8,840,844.99,11,6.23644808253954,6.23656144039502,0.00241254059384634,-0.563551917460464,-0.563438559604978,3,0.999938488006592
170,6.9,845,849.99,11,6.31572395380176,6.31607171133103,0.00367751462470311,-0.584276046198243,-0.583928288668966,3,0.999939799308777
171,7,850,854.99,11,6.39208760315662,6.39242596917578,0.00440290144852125,-0.607912396843384,-0.607574030824217,3,0.999941468238831
172,7.1,855,859.99,11,6.46133163407538,6.4616852515965,0.00483971608927266,-0.638668365924617,-0.638314748403497,3,0.999942541122437
173,7.2,860,864.99,11,6.53001943146362,6.53041115833567,0.00506889449405266,-0.669980568536385,-0.669588841664327,3,0.999944448471069
174,7.3,865,869.99,11,6.59235472603691,6.59271420354988,0.00487484474259945,-0.707645273963086,-0.70728579645012,3,0.999945402145386
175,7.4,870,874.99,11,6.65200106051134,6.65248538301613,0.00593977948607382,-0.747998939488657,-0.747514616983874,3,0.999945640563965
176,7.5,875,879.99,11,6.71026001281061,6.71066858230824,0.00647244164414811,-0.789739987189387,-0.789331417691764,3,0.999945402145386
177,7.6,880,884.99,11,6.76632860882042,6.76680388908613,0.0066688615053846,-0.833671391179576,-0.833196110913865,3,0.999943971633911
178,7.7,885,889.99,11,6.82006042636045,6.82050128402506,0.00637814870172623,-0.879939573639555,-0.879498715974945,3,0.999942302703857
179,7.8,890,894.99,11,6.8725081683365,6.87294487355656,0.00562361418936067,-0.927491831663496,-0.927055126443438,3,0.999940276145935
180,7.9,895,899.99,11,6.91661752999645,6.91695799164183,0.00495644981829552,-0.983382470003554,-0.983042008358166,3,0.999937295913696
181,8,900,904.99,11,6.95529731815305,6.95549620860474,0.00436323210621879,-1.04470268184695,-1.04450379139526,3,0.999933242797852
182,8.1,905,909.99,11,6.99274681848541,6.99308588304665,0.00489128829508739,-1.10725318151459,-1.10691411695335,3,0.999929428100586
183,8.2,910,914.99,11,7.02835216774186,7.02867151789345,0.00494849474746831,-1.17164783225814,-1.17132848210655,3,0.999924540519714
184,8.3,915,919.99,11,7.06106237056388,7.06142549601878,0.00515468367810831,-1.23893762943613,-1.23857450398122,3,0.999917149543762
185,8.4,920,924.99,11,7.09160441521123,7.09194980545904,0.00485009807975809,-1.30839558478877,-1.30805019454096,3,0.999905347824097
186,8.5,925,929.99,11,7.11633909151679,7.11672763614162,0.00408058050140685,-1.38366090848321,-1.38327236385838,3,0.9998859167099
187,8.6,930,934.99,11,7.14696224466054,7.14714856135489,0.00303034570031482,-1.45303775533946,-1.45285143864511,3,0.999859213829041
188,8.7,935,939.99,11,7.17947138378886,7.17964601930742,0.00306803702603471,-1.52052861621114,-1.52035398069258,3,0.999821245670319
189,8.8,940,944.99,11,7.20651295648659,7.20675923137564,0.00286371807411376,-1.59348704351341,-1.59324076862436,3,0.999766409397125
190,8.9,945,949.99,11,7.23027518460906,7.23046068633766,0.00330392996654718,-1.66972481539094,-1.66953931366234,3,0.99968945980072
191,9,950,954.99,11,7.24298616665446,7.243140854916,0.00319841669311029,-1.75701383334554,-1.756859145084,3,0.99957674741745
192,9.1,955,959.99,11,7.25133095027292,7.25163908494343,0.00403812951581489,-1.84866904972708,-1.84836091505657,3,0.999420881271362
193,9.2,960,964.99,11,7.26250684730235,7.26282359732511,0.00413953176788937,-1.93749315269764,-1.93717640267489,3,0.999207437038422
194,9.3,965,969.99,11,7.27264797067253,7.27282431373837,0.00372708159679464,-2.02735202932747,-2.02717568626163,3,0.998906016349792
195,9.4,970,974.99,11,7.29846010931966,7.29868868780949,0.0047378018106643,-2.10153989068035,-2.10131131219051,3,0.998556911945343
196,9.5,975,979.99,11,7.45648848859895,7.45655213354349,0.00302510148599905,-2.04351151140105,-2.04344786645651,3,0.998821318149567
197,9.6,980,984.99,11,7.5248646586063,7.52498612731143,0.00387779708248375,-2.0751353413937,-2.07501387268857,3,0.999059617519379
198,9.7,985,989.99,11,7.57809232280821,7.57800252134378,0.00359572750562385,-2.12190767719179,-2.12199747865622,3,0.999216079711914
199,9.8,990,994.99,11,7.58373747415722,7.58391016928113,0.00494134682720529,-2.21626252584278,-2.21608983071888,3,0.999154806137085
200,9.9,995,999.99,11,7.58632270075807,7.58667344649511,0.00465709972770634,-2.31367729924193,-2.31332655350489,3,0.999014616012573
201,10,1000,1005,11,7.5853152478555,7.58530019039301,0.00143939173824429,-2.4146847521445,-2.41469980960699,3,0.998874127864838
