run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,v_ref,omega_ref,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,26,26,-7.5,1,1,0.9,0,5,clean,125,129.99,11,-7.47728129197976,-7.47751460503254,0.0022161860596321,0.0227187080202409,0.0224853949674557,3,0.999997138977051
1,27,27,-7.4,1,1,0.9,0,5,clean,130,134.99,11,-7.38780069121071,-7.38791765820025,0.00180881871779552,0.0121993087892855,0.0120823417997489,3,0.999996423721313
1,28,28,-7.3,1,1,0.9,0,5,clean,135,139.99,11,-7.29746375547448,-7.29749053292066,0.00153033029450531,0.00253624452551993,0.0025094670793413,3,0.999995589256287
1,29,29,-7.2,1,1,0.9,0,5,clean,140,144.99,11,-7.20402420630777,-7.20413737012379,0.00151974296058286,-0.00402420630776579,-0.00413737012378856,3,0.999994516372681
1,30,30,-7.1,1,1,0.9,0,5,clean,145,149.99,11,-7.11310457005797,-7.11314710350871,0.00139766766018368,-0.0131045700579655,-0.0131471035087065,3,0.999992728233337
1,31,31,-7,1,1,0.9,0,5,clean,150,154.99,11,-7.02682903555695,-7.02687770065479,0.00124922040638388,-0.0268290355569487,-0.0268777006547856,3,0.999990463256836
1,32,32,-6.9,1,1,0.9,0,5,clean,155,159.99,11,-6.93757809989875,-6.93766013978457,0.0012416557093007,-0.0375780998987452,-0.0376601397845713,3,0.999987363815308
1,33,33,-6.8,1,1,0.9,0,5,clean,160,164.99,11,-6.84712974670168,-6.84723111291822,0.000860803309129317,-0.0471297467016756,-0.0472311129182224,3,0.999983191490173
1,34,34,-6.7,1,1,0.9,0,5,clean,165,169.99,11,-6.75500244762925,-6.75487919376105,0.000448046918282464,-0.0550024476292501,-0.0548791937610451,3,0.999976992607117
1,35,35,-6.6,1,1,0.9,0,5,clean,170,174.99,11,-6.66006025684514,-6.65998574569055,0.000675625141516942,-0.0600602568451354,-0.0599857456905522,3,0.999969720840454
1,36,36,-6.5,1,1,0.9,0,5,clean,175,179.99,11,-6.5608240115072,-6.56109621006878,0.00119999391347472,-0.0608240115071963,-0.0610962100687775,3,0.999963045120239
1,37,37,-6.4,1,1,0.9,0,5,clean,180,184.99,11,-6.46196086525267,-6.46223822526402,0.00134797056657067,-0.0619608652526695,-0.0622382252640223,3,0.999955654144287
1,38,38,-6.3,1,1,0.9,0,5,clean,185,189.99,11,-6.35861540735532,-6.35893297234384,0.00211181309598601,-0.0586154073553224,-0.0589329723438361,3,0.999951601028442
1,39,39,-6.2,1,1,0.9,0,5,clean,190,194.99,11,-6.2488649395638,-6.24930603007576,0.00156512844394998,-0.0488649395637957,-0.0493060300757637,3,0.999954342842102
1,40,40,-6.1,1,1,0.9,0,5,clean,195,199.99,11,-6.14088434454095,-6.14117222149131,0.00084449975432157,-0.0408843445409488,-0.0411722214913066,3,0.999958276748657
1,41,41,-6,1,1,0.9,0,5,clean,200,204.99,11,-6.03156631310125,-6.03174638172482,0.000768353634880579,-0.0315663131012478,-0.0317463817248216,3,0.999961972236633
1,42,42,-5.9,1,1,0.9,0,5,clean,205,209.99,11,-5.91772968463876,-5.91779352362277,0.000285135624787494,-0.0177296846387609,-0.0177935236227649,3,0.999964475631714
1,43,43,-5.8,1,1,0.9,0,5,clean,210,214.99,11,-5.80175563385288,-5.8018505191513,0.000262586068761195,-0.00175563385288413,-0.0018505191512963,3,0.999966263771057
1,44,44,-5.7,1,1,0.9,0,5,clean,215,219.99,11,-5.68117504735866,-5.68136287756083,0.000873551910551758,0.0188249526413449,0.0186371224391699,3,0.999965786933899
