run_id,seed,run_tag,seed101_rank,description,metric_status,full_v2_offline_status,full_v2_offline_failures,offline_score,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall,checkpoint_file,run_dir,overrides_json
u06_lr0013,101,u06_lr0013_seed101,11,lr=0.0013,ok,pass,none,0.393758617322681,0.9697390338700722,0.5774569683509162,0.5126676602086438,0.8148943781852722,2.641808032989502,4.67247200012207,0.9603174603174603,0.71875,0.9810909090909091,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u06_lr0013_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u06_lr0013_seed101,"{""lr"": 0.0013}"
u02_lwlr0006,101,u02_lwlr0006_seed101,12,loss_weight_lr=0.0006,ok,pass,none,0.394211358160915,0.968906163242643,0.5907828983897835,0.5171385991058122,0.6719390749931335,2.7910726070404053,5.412934303283691,0.9642857142857143,0.7083333333333334,0.9792727272727273,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u02_lwlr0006_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u02_lwlr0006_seed101,"{""loss_weight_lr"": 0.0006}"
u03_lwlr0015,101,u03_lwlr0015_seed101,13,loss_weight_lr=0.0015,ok,fail,flat_peak_theta_error_ratio=1.22696>1.15,0.392400605393091,0.9650194336479734,0.5843975569128262,0.5052160953800298,0.6114991307258606,2.436506748199463,6.546715259552002,0.9523809523809523,0.6979166666666666,0.9778181818181818,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u03_lwlr0015_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u03_lwlr0015_seed101,"{""loss_weight_lr"": 0.0015}"
u13_mainneg16,101,u13_mainneg16_seed101,14,main_neg_slope_weight=1.6,ok,fail,flat_peak_theta_error_ratio=1.18386>1.15,0.393090084992364,0.961965574680733,0.5921710161021655,0.5245901639344263,0.5803342461585999,2.639920473098755,6.316754341125488,0.9576719576719577,0.6979166666666666,0.9723636363636363,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u13_mainneg16_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u13_mainneg16_seed101,"{""main_neg_slope_weight"": 1.6}"
u10_tt20,101,u10_tt20_seed101,15,turn_transition_weight=2.0,ok,fail,theta_edge_p95_ratio=1.10309>1.05,0.40776100775955,0.9616879511382566,0.55941143808995,0.4932935916542474,0.6439966559410095,3.0390684604644775,5.362841606140137,0.9563492063492064,0.7083333333333334,0.972,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u10_tt20_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u10_tt20_seed101,"{""turn_transition_weight"": 2.0}"
u16_ltheta045,101,u16_ltheta045_seed101,16,lambda_theta=0.45,ok,fail,flat_peak_theta_error_ratio=1.19666>1.15,0.410851703615745,0.9697390338700722,0.5846751804553026,0.5126676602086438,0.6833174824714661,2.6512203216552734,6.3850579261779785,0.958994708994709,0.7083333333333334,0.9818181818181818,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u16_ltheta045_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u16_ltheta045_seed101,"{""lambda_theta"": 0.45}"
u19_tflat008,101,u19_tflat008_seed101,17,lambda_theta_flat=0.08,ok,fail,theta_edge_p95_ratio=1.07126>1.05,0.413307805020291,0.9714047751249306,0.5521932259855635,0.4903129657228018,0.683583676815033,2.9513747692108154,5.579343795776367,0.9708994708994709,0.71875,0.9803636363636363,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u19_tflat008_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u19_tflat008_seed101,"{""lambda_theta_flat"": 0.08}"
u05_lr0007,101,u05_lr0007_seed101,18,lr=0.0007,ok,fail,theta_edge_p95_ratio=1.10439>1.05,0.439549151641677,0.9627984453081622,0.572459744586341,0.4843517138599106,0.783924400806427,3.042670488357544,5.621067047119141,0.9563492063492064,0.6979166666666666,0.9738181818181818,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u05_lr0007_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u05_lr0007_seed101,"{""lr"": 0.0007}"
u20_tflat016,101,u20_tflat016_seed101,19,lambda_theta_flat=0.16,ok,fail,theta_edge_p95_ratio=1.33879>1.05,0.442738594906736,0.9714047751249306,0.5702387562465298,0.4828614008941878,0.6945639848709106,3.68845272064209,5.011653423309326,0.9735449735449735,0.7083333333333334,0.98,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u20_tflat016_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u20_tflat016_seed101,"{""lambda_theta_flat"": 0.16}"
u09_lturn030,101,u09_lturn030_seed101,20,lambda_turn=0.30,ok,fail,theta_edge_p95_ratio=1.0612>1.05,0.44958507603152,0.9736257634647418,0.5474736257634647,0.47391952309985097,0.8291496634483337,2.923668384552002,5.839818477630615,0.9695767195767195,0.7083333333333334,0.984,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u09_lturn030_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u09_lturn030_seed101,"{""lambda_turn"": 0.3}"
