segment_idx,theta_true_deg,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
32,-6.9,155,159.99,11,-6.52761264355483,-6.52763363862495,0.000437128389038534,0.372387356445168,0.372366361375049,3,0.999848127365112
33,-6.8,160,164.99,11,-6.4306692073439,-6.4306281097852,0.000221948233506723,0.369330792656097,0.369371890214796,3,0.999843716621399
34,-6.7,165,169.99,11,-6.33109444075523,-6.3311545541815,0.00032499815499848,0.368905559244775,0.3688454458185,3,0.999842524528503
35,-6.6,170,174.99,11,-6.23544191029743,-6.23548913950322,0.000313009433707459,0.364558089702571,0.364510860496776,3,0.999841451644897
36,-6.5,175,179.99,11,-6.14021455911546,-6.1402121530261,0.000325144382879019,0.359785440884536,0.359787846973902,3,0.999837636947632
37,-6.4,180,184.99,11,-6.04078237272571,-6.0407679749974,0.000117066049351106,0.35921762727429,0.359232025002596,3,0.99983286857605
38,-6.3,185,189.99,11,-5.9350028061629,-5.93492456945059,0.00068072053568769,0.364997193837099,0.36507543054941,3,0.999830484390259
39,-6.2,190,194.99,11,-5.82090364230419,-5.82088381147086,0.00061915124927463,0.379096357695809,0.379116188529137,3,0.999829888343811
40,-6.1,195,199.99,11,-5.70517590521526,-5.70510954371821,0.0011997026099654,0.394824094784743,0.394890456281792,3,0.999828696250916
41,-6,200,204.99,11,-5.58635537309278,-5.58625132913161,0.00117116822906487,0.413644626907224,0.413748670868387,3,0.999822914600372
42,-5.9,205,209.99,11,-5.47669753974187,-5.47653893188313,0.00167474360540541,0.423302460258133,0.42346106811687,3,0.999824702739716
43,-5.8,210,214.99,11,-5.3661487935911,-5.36608371275452,0.00133655201176474,0.433851206408904,0.433916287245483,3,0.999829888343811
44,-5.7,215,219.99,11,-5.25698828338913,-5.25688144525967,0.000963801716512596,0.443011716610871,0.443118554740332,3,0.999841213226318
45,-5.6,220,224.99,11,-5.15238564379768,-5.15240562986258,0.00147887177669563,0.447614356202323,0.447594370137423,3,0.999855160713196
46,-5.5,225,229.99,11,-5.05350883716481,-5.05337359165766,0.00121817785189352,0.446491162835191,0.446626408342335,3,0.999866604804993
47,-5.4,230,234.99,11,-4.95540554945545,-4.95518391757846,0.00126412915735861,0.444594450544553,0.444816082421542,3,0.999877333641052
48,-5.3,235,239.99,11,-4.85949859445107,-4.85925216433044,0.00187919505161555,0.440501405548932,0.440747835669556,3,0.999890089035034
49,-5.2,240,244.99,11,-4.76524369145218,-4.76493629413164,0.00239525460342827,0.434756308547817,0.43506370586836,3,0.999903917312622
50,-5.1,245,249.99,11,-4.66659441549604,-4.6663930801471,0.00262297528657311,0.433405584503957,0.433606919852901,3,0.999916911125183
51,-5,250,254.99,11,-4.57536614007312,-4.57512479378648,0.00241459602690578,0.424633859926878,0.424875206213517,3,0.999928712844849
52,-4.9,255,259.99,11,-4.48386764529116,-4.4835403395215,0.00369505188994012,0.416132354708839,0.416459660478497,3,0.999937415122986
53,-4.8,260,264.99,11,-4.37807143014225,-4.37780047343324,0.00378911814557341,0.421928569857751,0.422199526566756,3,0.999945759773254
54,-4.7,265,269.99,11,-4.29143176118111,-4.29120287222813,0.00313663396525975,0.408568238818893,0.408797127771875,3,0.999955534934998
55,-4.6,270,274.99,11,-4.21420580044353,-4.21383277897591,0.0035742252036716,0.385794199556465,0.386167221024092,3,0.999964356422424
56,-4.5,275,279.99,11,-4.13946432101655,-4.13919937953097,0.00357699108896884,0.360535678983446,0.360800620469035,3,0.999971985816956
57,-4.4,280,284.99,11,-4.07533482112566,-4.07504345146493,0.00340299266354192,0.324665178874342,0.324956548535072,3,0.999977350234985
58,-4.3,285,289.99,11,-4.01568336400935,-4.01557221820377,0.0031741478437571,0.284316635990648,0.284427781796232,3,0.999981880187988
59,-4.2,290,294.99,11,-3.96516600424747,-3.96496385393277,0.00338221830479764,0.234833995752532,0.235036146067228,3,0.999985933303833
60,-4.1,295,299.99,11,-3.92508005089549,-3.92477304165387,0.00266211676094008,0.174919949104513,0.175226958346126,3,0.999989151954651
61,-4,300,304.99,11,-3.86021886698975,-3.8599026602775,0.00284393861799365,0.139781133010247,0.140097339722505,3,0.999991297721863
62,-3.9,305,309.99,11,-3.78990377703176,-3.78971128988243,0.00285712346902962,0.110096222968236,0.110288710117573,3,0.999992251396179
63,-3.8,310,314.99,11,-3.72267934767321,-3.72248697694755,0.0027743325848861,0.0773206523267937,0.0775130230524512,3,0.999992489814758
64,-3.7,315,319.99,11,-3.64503802605673,-3.64484681956787,0.00233873854662639,0.0549619739432679,0.0551531804321348,3,0.9999920129776
65,-3.6,320,324.99,11,-3.55884039840094,-3.55863976159407,0.00217935822754358,0.0411596015990634,0.0413602384059328,3,0.999990463256836
66,-3.5,325,329.99,11,-3.47053928592419,-3.47031749881563,0.00176651291023635,0.0294607140758112,0.029682501184372,3,0.999987959861755
67,-3.4,330,334.99,11,-3.35927336991057,-3.35907197634978,0.0024773313684495,0.0407266300894347,0.040928023650217,3,0.999985575675964
68,-3.3,335,339.99,11,-3.24618550093584,-3.24596266601417,0.00255357027132512,0.0538144990641589,0.0540373339858307,3,0.99998414516449
69,-3.2,340,344.99,11,-3.12974678384299,-3.12959613160232,0.00232401803455391,0.0702532161570093,0.0704038683976802,3,0.999983072280884
70,-3.1,345,349.99,11,-3.01448840881608,-3.01462928146772,0.00228139663967458,0.0855115911839164,0.085370718532285,3,0.999983668327332
71,-3,350,354.99,11,-2.91199757833863,-2.9118056344998,0.00208681465481955,0.0880024216613657,0.0881943655002004,3,0.999984502792358
72,-2.9,355,359.99,11,-2.82222413320893,-2.82202526216119,0.00186684277945575,0.0777758667910748,0.077974737838812,3,0.999984264373779
73,-2.8,360,364.99,11,-2.7154623000661,-2.71526531120118,0.0024342501068337,0.0845376999338976,0.084734688798823,3,0.999981880187988
74,-2.7,365,369.99,11,-2.62555395870029,-2.62539818381774,0.00147434475933229,0.0744460412997148,0.0746018161822626,3,0.999980330467224
75,-2.6,370,374.99,11,-2.53476793802612,-2.53478049237951,0.00187898992533088,0.0652320619738775,0.0652195076204887,3,0.9999760389328
76,-2.5,375,379.99,11,-2.45864249151857,-2.45841651315756,0.0026218489225485,0.0413575084814317,0.0415834868424372,3,0.999966740608215
77,-2.4,380,384.99,11,-2.43671267508436,-2.43649668975581,0.00311893602067941,-0.0367126750843614,-0.0364966897558063,3,0.999964594841003
78,-2.3,385,389.99,11,-2.41445266169247,-2.41430744255682,0.00242128260217974,-0.114452661692467,-0.114307442556818,3,0.999971747398376
79,-2.2,390,394.99,11,-2.38374690594844,-2.38355071264532,0.0032633373354618,-0.18374690594844,-0.18355071264532,3,0.999982476234436
80,-2.1,395,399.99,11,-2.35217542372711,-2.35194259577299,0.00368057599247921,-0.252175423727114,-0.251942595772991,3,0.999990344047546
81,-2,400,404.99,11,-2.29995073011614,-2.2997996315847,0.00296079535090799,-0.299950730116138,-0.299799631584698,3,0.999994277954102
82,-1.9,405,409.99,11,-2.18304307784808,-2.18294976426934,0.00272808872394057,-0.283043077848085,-0.282949764269339,3,0.999995589256287
83,-1.8,410,414.99,11,-2.02099299780812,-2.02091586712076,0.00212922964066384,-0.220992997808124,-0.220915867120764,3,0.999991536140442
84,-1.7,415,419.99,11,-1.8354521896652,-1.83547295188796,0.000679754678060793,-0.135452189665197,-0.135472951887958,3,0.999944448471069
85,-1.6,420,424.99,11,-1.60471559289747,-1.60483405399089,0.00074394567278738,-0.00471559289747225,-0.00483405399088932,3,0.998074173927307
86,-1.5,425,429.99,11,-1.30103897909636,-1.30107453682833,0.000503198150112165,0.198961020903641,0.19892546317167,3,0.697043538093567
87,-1.4,430,434.99,11,-0.961781028422592,-0.962048259573869,0.000551492712214562,0.438218971577408,0.437951740426131,1,0.99591076374054
88,-1.3,435,439.99,11,-0.624285906884924,-0.624446217439968,0.000423651285172595,0.675714093115076,0.675553782560033,1,0.999966979026794
89,-1.2,440,444.99,11,-0.308390778349745,-0.308545034873479,0.000450880538967703,0.891609221650255,0.891454965126521,1,0.999983668327332
90,-1.1,445,449.99,11,-0.255079230887091,-0.255178976874104,0.000422413418856993,0.844920769112909,0.844821023125896,1,0.999974489212036
91,-1,450,454.99,11,-0.148753395933025,-0.148809361765734,0.000476294765960171,0.851246604066975,0.851190638234266,1,0.999969124794006
92,-0.9,455,459.99,11,-0.0797565858457017,-0.0798010645420794,0.000282656482725265,0.820243414154298,0.820198935457921,1,0.999969482421875
93,-0.8,460,464.99,11,-0.0535538457554171,-0.0536911577828648,0.000382810030516039,0.746446154244583,0.746308842217135,1,0.999969005584717
94,-0.7,465,469.99,11,-0.0602177625078224,-0.0606029648028673,0.00163230578050864,0.639782237492178,0.639397035197133,1,0.999967098236084
95,-0.6,470,474.99,11,-0.0672304991555743,-0.0675016062451656,0.000975038091394686,0.532769500844426,0.532498393754834,1,0.999964952468872
96,-0.5,475,479.99,11,-0.0778548050486763,-0.0779538718975612,0.000879074955799724,0.422145194951324,0.422046128102439,1,0.99996292591095
97,-0.4,480,484.99,11,-0.103511556892183,-0.103771225355309,0.000622748939623236,0.296488443107817,0.296228774644691,1,0.999961018562317
98,-0.3,485,489.99,11,-0.109067115369195,-0.10922808565842,0.00201169408506971,0.190932884630805,0.19077191434158,1,0.999959230422974
99,-0.2,490,494.99,11,-0.108579770699744,-0.108902099357124,0.00352657209472902,0.0914202293002561,0.0910979006428763,1,0.999957799911499
100,-0.1,495,499.99,11,-0.0923390215964817,-0.09264263029647,0.00480507811610051,0.00766097840351834,0.00735736970352999,1,0.999956846237183
101,0,500,504.99,11,-0.118585144060166,-0.118666388384186,0.00302152965421669,-0.118585144060166,-0.118666388384186,1,0.999952077865601
102,0.1,505,509.99,11,-0.113862708579337,-0.113963885607405,0.00249774632314617,-0.213862708579337,-0.213963885607405,1,0.999949932098389
103,0.2,510,514.99,11,-0.0478052810734994,-0.047639513158501,0.000765613158812838,-0.247805281073499,-0.247639513158501,1,0.999939918518066
104,0.3,515,519.99,11,0.0341185691525723,0.0340664453012713,0.000205443704657531,-0.265881430847428,-0.265933554698729,1,0.999923706054688
105,0.4,520,524.99,11,0.120722806507395,0.120841500448171,0.000992181028796281,-0.279277193492605,-0.279158499551829,1,0.999895095825195
106,0.5,525,529.99,11,0.19569640564445,0.19573016851137,0.000171612589683474,-0.30430359435555,-0.30426983148863,1,0.999855518341064
107,0.6,530,534.99,11,0.272361957364751,0.272375671103944,0.00123005252079483,-0.327638042635249,-0.327624328896056,1,0.999818384647369
108,0.7,535,539.99,11,0.319273404131691,0.319497199548714,0.00189566224537836,-0.380726595868309,-0.380502800451286,1,0.999772965908051
109,0.8,540,544.99,11,0.344964467003606,0.345231377989766,0.00274515467339036,-0.455035532996394,-0.454768622010234,1,0.999700903892517
110,0.9,545,549.99,11,0.389564268262467,0.389744841388649,0.00229360771488321,-0.510435731737533,-0.510255158611351,1,0.999614953994751
111,1,550,554.99,11,0.432176857998825,0.432433649826881,0.00177463630164535,-0.567823142001175,-0.567566350173119,1,0.999342620372772
112,1.1,555,559.99,11,0.47106043125262,0.471275771399954,0.00187548743922437,-0.62893956874738,-0.628724228600047,1,0.998081564903259
113,1.2,560,564.99,11,0.527181961228499,0.52728426853645,0.00149330915603707,-0.672818038771501,-0.67271573146355,1,0.982536435127258
